Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-11-01;0;26;20.3;16;66.3;51;13.3;5.2;
2013-11-02;0;25.6;20.6;15.9;64.8;52;16;5.1;
2013-11-03;6.4;23.9;20.2;18.5;80.7;61;9.8;3.7;
2013-11-04;0;21.3;16.5;12.4;69.3;32;8.2;2.6;
2013-11-05;0;21.1;15.3;10.1;73.1;51;10.8;2.9;
2013-11-06;0;25.6;17.6;11.7;56.9;29;9.8;3.9;
2013-11-07;0;26.7;18.8;11.9;60.3;34;12.5;3.8;
2013-11-08;0;28.7;21.4;14.6;62;34;11.2;3.2;
2013-11-09;0;28.8;22.5;17.3;67.5;42;10.3;3;
2013-11-10;.6;30.7;22.6;19.6;77;51;14.3;3.9;
2013-11-11;94;21.9;19;18.6;94;84;20.3;3.7;
2013-11-12;51.8;23;18.8;15.3;77.2;51;16.1;4.2;
2013-11-13;0;25.4;19.5;14;61.4;24;8.6;2.1;
2013-11-14;0;29.2;21.4;14.7;57.1;30;9.6;3.5;
2013-11-15;0;30;20.9;15;65.7;40;17.3;5.7;
2013-11-16;21.6;21.2;17.2;12.8;76.8;42;8.6;2.8;
2013-11-17;0;25.8;17.3;10.8;70.3;34;9;2.7;
2013-11-18;0;29.2;21;14.2;64.6;34;11.3;3.4;
2013-11-19;0;29.5;23.3;17.8;68.5;48;11.1;3.4;
2013-11-20;31;26.1;21.9;17.9;81.4;66;11.1;3.2;
2013-11-21;10.6;23;19.8;19.2;91.8;73;9.8;1.6;
2013-11-22;24.6;21.5;17.6;15.2;80.5;58;11.3;3.6;
2013-11-23;0;25.9;18.1;12.5;66.7;35;12.2;3.6;
2013-11-24;0;28.1;20.7;14.9;66.2;43;10.9;4;
2013-11-25;0;28.8;21.8;17.4;69.5;47;13.5;4.2;
2013-11-26;1.4;29.7;22.7;18.7;72.9;38;8.6;3.1;
2013-11-27;.8;29.6;22.8;18.1;71.8;48;11.4;3.1;
2013-11-28;0;25.5;20.7;17.9;73;30;8.4;2.6;
2013-11-29;0;24.2;18.8;13.9;69.4;47;9.4;2.7;
2013-11-30;0;25.5;19.6;15.5;73.5;47;11;2.9;
2013-12-01;0;26.2;20.5;15.8;68.8;54;13.1;3.8;
2013-12-02;2.6;24.9;20.6;18;82.5;64;9.3;2.7;
2013-12-03;0;28.2;21.3;16.9;78.9;46;10.8;1.9;
2013-12-04;0;30.7;22.8;16.4;71;35;8.7;1.9;
2013-12-05;41.6;27.6;20.4;18.5;85.6;42;12.6;2.4;
2013-12-06;2;22.2;17.6;13.4;76.1;49;7.2;2.1;
2013-12-07;0;27.4;19.5;13.7;72.2;35;8.9;2.2;
2013-12-08;0;30.2;23;16.8;62.2;29;8.9;2.6;
2013-12-09;0;27.5;22.3;20.1;77;40;15.1;3.3;
2013-12-10;2;21.7;18.8;18;90;75;10.3;2.5;
2013-12-11;1.2;22.5;17.9;14.7;78.8;58;11.2;2.9;
2013-12-12;0;25.4;19;13.9;73;52;11.3;3;
2013-12-13;0;27.1;19.9;15.5;72.9;33;11.4;3.2;
2013-12-14;5;29.5;22.2;16.3;73.3;39;8.8;2.1;
2013-12-15;0;28.7;23.5;18;69.3;43;8.2;2.4;
2013-12-16;0;28.2;22.4;17.8;71.3;33;9;2.1;
2013-12-17;0;28.7;22.3;17.6;65.8;33;9.2;3.5;
2013-12-18;0;30.8;23;16.7;61.5;23;10.6;3.6;
2013-12-19;0;30.5;23.1;17.7;63.5;22;11.1;3.2;
2013-12-20;.2;29.3;23.1;18.5;67.5;45;11.2;3.5;
2013-12-21;0;28.7;22.3;17;68.6;49;10.5;3.3;
2013-12-22;0;26.9;21.7;16.9;68.3;47;11;3.5;
2013-12-23;0;25.7;20.8;16.1;76.1;58;11;3.1;
2013-12-24;0;30.8;22.9;16.6;70.2;35;8.3;2.1;
2013-12-25;0;32.7;25.5;18.8;61.4;31;8.3;2.5;
2013-12-26;0;35;27.8;21.6;52.3;22;8.2;2.4;
2013-12-27;0;35.1;26.6;23.5;61;32;16.5;2.4;
2013-12-28;38.4;31.5;24.7;17.9;74.3;39;6.7;1.9;
2013-12-29;0;32;26.5;21.6;67;45;12.8;2.9;
2013-12-30;38.8;30.5;23.1;18.4;85.1;60;12.1;2.4;
2013-12-31;1.8;28.1;23.9;22;82.7;64;9.2;2.9;
2014-01-01;3.4;29.7;24;22;83.7;58;7.9;1.9;
2014-01-02;.8;27.3;23.5;21.8;85.5;72;19.5;4.3;
2014-01-03;11.8;23.5;18.9;18.9;93;87;10.7;2.6;
2014-01-04;9.2;25.8;19.1;15.1;73.8;46;8.5;2.1;
2014-01-05;0;28.8;21.7;16.1;69.1;35;7.9;2.5;
2014-01-06;0;30.9;23.9;17.6;69;40;8.4;2.9;
2014-01-07;0;30.9;25.3;20.3;65.3;44;10.8;3.9;
2014-01-08;0;27.3;23.5;20;74.4;57;10.2;2.9;
2014-01-09;0;30.4;23.8;19.3;77.1;48;6.7;2;
2014-01-10;0;30.7;23.4;21;77.1;49;13.8;3.5;
2014-01-11;12.4;26.3;20;17.6;86.7;65;15.2;2.5;
2014-01-12;3.6;21.9;19.5;18.3;90.3;80;6.5;1.7;
2014-01-13;1.8;26.4;21.7;18.6;82.6;63;6.7;1.6;
2014-01-14;3;25.4;21;17.8;87.1;65;9.2;1.3;
2014-01-15;2.8;26.2;20.8;17.5;86;63;7.4;1.6;
2014-01-16;0;28.2;21.8;17.5;81.3;53;7;1.8;
2014-01-17;0;31;23.8;18.2;70.7;40;8.1;2.5;
2014-01-18;0;31.3;24.5;19.9;64.8;38;8.1;2.9;
2014-01-19;0;31.6;25.3;19.5;57.8;32;8;2.7;
2014-01-20;0;33.6;26.9;21.4;53.6;26;8.1;2.7;
2014-01-21;0;32.6;26.7;20.9;51;28;10.9;3.6;
2014-01-22;0;33.2;26.6;21.9;61.4;40;10;2.3;
2014-01-23;6.4;32;27.3;22.5;63.8;46;10;3.5;
2014-01-24;0;32.3;26.4;23.2;70.8;50;13.2;3.5;
2014-01-25;3.4;23.2;18.7;16.9;88.8;77;11.6;3.5;
2014-01-26;.4;28.9;20.6;16.3;84.2;58;8.4;2.2;
2014-01-27;19.2;31.6;25.1;20.1;74.5;45;9.2;2.7;
2014-01-28;0;33.1;27.2;22.1;65.3;42;9.8;3.3;
2014-01-29;0;33.9;27.5;22.2;61;34;9.6;2.8;
2014-01-30;0;33;25.4;21.6;68.8;36;17.2;2.5;
2014-01-31;0;32.6;23.4;20.3;71;39;16.7;2.7;
2014-02-01;13.6;32.5;22.9;18.8;77.8;45;19.6;2.7;
2014-02-02;13.6;32.7;25.4;17.9;70;42;10.1;3.1;
2014-02-03;0;32.8;27.6;23.1;62.2;39;9.8;2.7;
2014-02-04;4.2;33.4;25.6;18.1;67.5;30;18.8;2.6;
2014-02-05;0;34.3;28.1;22.6;57.1;30;9.2;3.1;
2014-02-06;0;34.6;28.4;22.6;59.4;32;10;2.4;
2014-02-07;0;35.3;28.6;21.9;57.9;32;11.9;2.8;
2014-02-08;0;34.9;26.3;23;60.2;28;18.4;2.9;
2014-02-09;23.8;34.1;25.8;18.9;62.4;28;10.5;2.6;
2014-02-10;0;34.1;25.2;21.1;67.6;33;12.6;2.1;
2014-02-11;7.2;33.3;26.5;20.2;64.9;32;10.8;2.9;
2014-02-12;0;33.7;25.5;21.9;65.8;35;14.6;2.9;
2014-02-13;17.4;25.5;20.5;18.2;87.1;68;13;2.9;
2014-02-14;8;20.9;17.5;16;86;67;13.8;3.9;
2014-02-15;1.4;23.5;18.5;14.9;70.5;47;11.1;3.4;
2014-02-16;0;26.1;19.8;14.8;68.5;48;12;3.3;
2014-02-17;0;28.2;21.3;16.1;67.8;47;12;3.6;
